Round,Player,Team,Disposals,Kicks,Handballs,K%,H%,Marks,Goals,Tackles,Position
8,Tom McDonald,Melbourne,13.0,9.0,4.0,0.69,0.31,6.0,0.0,1.0,Key Defender
8,Tom Sparrow,Melbourne,7.0,3.0,4.0,0.43,0.57,1.0,0.0,2.0,Gen. Forward
8,Trent Rivers,Melbourne,25.0,17.0,8.0,0.68,0.32,6.0,0.0,1.0,Gen. Defender
8,Xavier Lindsay,Melbourne,11.0,7.0,4.0,0.64,0.36,1.0,0.0,1.0,Midfielder
9,Bayley Fritsch,Melbourne,4.0,2.0,2.0,0.5,0.5,1.0,0.0,4.0,Gen. Forward
9,Caleb Windsor,Melbourne,23.0,15.0,8.0,0.65,0.35,7.0,0.0,1.0,Gen. Defender
9,Charlie Spargo,Melbourne,13.0,7.0,6.0,0.54,0.46,5.0,0.0,4.0,Gen. Forward
9,Christian Petracca,Melbourne,26.0,13.0,13.0,0.5,0.5,2.0,0.0,5.0,Mid-Forward
9,Christian Salem,Melbourne,19.0,13.0,6.0,0.68,0.32,5.0,0.0,1.0,Gen. Defender
9,Clayton Oliver,Melbourne,13.0,5.0,8.0,0.38,0.62,0.0,0.0,4.0,Midfielder
9,Daniel Turner,Melbourne,16.0,13.0,3.0,0.81,0.19,11.0,0.0,0.0,Key Defender
9,Ed Langdon,Melbourne,21.0,10.0,11.0,0.48,0.52,4.0,0.0,4.0,Mid-Forward
9,Harry Sharp,Melbourne,8.0,4.0,4.0,0.5,0.5,2.0,1.0,5.0,Gen. Forward
9,Harvey Langford,Melbourne,22.0,16.0,6.0,0.73,0.27,6.0,3.0,1.0,Midfielder
9,Jacob van Rooyen,Melbourne,10.0,2.0,8.0,0.2,0.8,2.0,0.0,4.0,Key Forward
9,Jake Bowey,Melbourne,28.0,22.0,6.0,0.79,0.21,9.0,0.0,1.0,Gen. Defender
9,Judd McVee,Melbourne,20.0,15.0,5.0,0.75,0.25,9.0,0.0,2.0,Gen. Defender
9,Kade Chandler,Melbourne,14.0,9.0,5.0,0.64,0.36,3.0,0.0,3.0,Gen. Forward
9,Koltyn Tholstrup,Melbourne,,,,,,,,,Gen. Forward
9,Kysaiah Pickett,Melbourne,17.0,12.0,5.0,0.71,0.29,3.0,2.0,9.0,Mid-Forward
9,Matthew Jefferson,Melbourne,,,,,,,,,Key Forward
9,Max Gawn,Melbourne,19.0,11.0,8.0,0.58,0.42,7.0,0.0,3.0,Ruck
9,Steven May,Melbourne,20.0,15.0,5.0,0.75,0.25,6.0,0.0,1.0,Key Defender
9,Tom McDonald,Melbourne,16.0,8.0,8.0,0.5,0.5,6.0,0.0,0.0,Key Defender
9,Tom Sparrow,Melbourne,11.0,7.0,4.0,0.64,0.36,3.0,1.0,4.0,Gen. Forward
9,Trent Rivers,Melbourne,23.0,12.0,11.0,0.52,0.48,5.0,0.0,1.0,Gen. Defender
9,Xavier Lindsay,Melbourne,15.0,5.0,10.0,0.33,0.67,0.0,0.0,2.0,Midfielder
10,Aidan Johnson,Melbourne,,,,,,,,,Key Forward
10,Bayley Fritsch,Melbourne,,,,,,,,,Gen. Forward
10,Caleb Windsor,Melbourne,6.0,6.0,0.0,1.0,0.0,3.0,0.0,3.0,Gen. Defender
10,Charlie Spargo,Melbourne,13.0,5.0,8.0,0.38,0.62,3.0,0.0,3.0,Gen. Forward
10,Christian Petracca,Melbourne,31.0,13.0,18.0,0.42,0.58,2.0,0.0,2.0,Mid-Forward
10,Christian Salem,Melbourne,20.0,17.0,3.0,0.85,0.15,8.0,0.0,1.0,Gen. Defender
10,Clayton Oliver,Melbourne,23.0,8.0,15.0,0.35,0.65,3.0,1.0,3.0,Midfielder
10,Daniel Turner,Melbourne,11.0,6.0,5.0,0.55,0.45,1.0,0.0,1.0,Key Defender
10,Ed Langdon,Melbourne,25.0,10.0,15.0,0.4,0.6,6.0,1.0,3.0,Mid-Forward
10,Harrison Petty,Melbourne,10.0,8.0,2.0,0.8,0.2,7.0,0.0,2.0,Key Forward
10,Harry Sharp,Melbourne,,,,,,,,,Gen. Forward
10,Harvey Langford,Melbourne,19.0,11.0,8.0,0.58,0.42,7.0,0.0,1.0,Midfielder
10,Jake Bowey,Melbourne,22.0,12.0,10.0,0.55,0.45,8.0,0.0,1.0,Gen. Defender
10,Jake Melksham,Melbourne,11.0,11.0,0.0,1.0,0.0,7.0,4.0,3.0,Key Forward
10,Judd McVee,Melbourne,13.0,11.0,2.0,0.85,0.15,6.0,0.0,1.0,Gen. Defender
10,Kade Chandler,Melbourne,11.0,7.0,4.0,0.64,0.36,2.0,1.0,0.0,Gen. Forward
10,Kysaiah Pickett,Melbourne,21.0,14.0,7.0,0.67,0.33,5.0,2.0,3.0,Mid-Forward
10,Max Gawn,Melbourne,22.0,12.0,10.0,0.55,0.45,7.0,0.0,0.0,Ruck
10,Steven May,Melbourne,15.0,14.0,1.0,0.93,0.07,8.0,0.0,1.0,Key Defender
10,Tom McDonald,Melbourne,16.0,12.0,4.0,0.75,0.25,6.0,1.0,2.0,Key Defender
10,Tom Sparrow,Melbourne,16.0,9.0,7.0,0.56,0.44,2.0,1.0,4.0,Gen. Forward
10,Trent Rivers,Melbourne,24.0,14.0,10.0,0.58,0.42,4.0,1.0,1.0,Gen. Defender
10,Xavier Lindsay,Melbourne,19.0,14.0,5.0,0.74,0.26,6.0,0.0,2.0,Midfielder
